success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,subject_pair,STUDY_ID,PROLIFIC_PID,SESSION_ID,practice_instructions,leaderboard_instructions,bonus,reveal_word,self_rating,confidence,view_history,rt,responses,question_order,correct,test_part,word,click_log,final_keyboard_state,num_clicks,points,cheat,response,position_RT,position,player,i_game,true_position,distance,last_word,stimulus,confidence_slider_self_response
1.0,fullscreen,0,3328,0.0-0.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,,,,,,,,,,,,,,,,,,,,,,
,instructions,1,9709,0.0-1.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,"[{""page_index"":0,""viewing_time"":6380.0999999940395}]",6380.300000011921,,,,,,,,,,,,,,,,,,,,
,instructions,2,51593,0.0-2.0-0.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,"[{""page_index"":0,""viewing_time"":41883.5}]",41883.70000001788,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,64053,0.0-2.0-1.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,,12459.40000000596,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,,,,
,instructions,4,65484,0.0-3.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,"[{""page_index"":0,""viewing_time"":1430.7999999821186}]",1430.7999999821186,,,,,,,,,,,,,,,,,,,,
,Hangman,5,119294,0.0-4.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,,,,,,,ZEBRA,"{'letter': ['', 'H', 'S', 'M', 'T', 'A', 'L', 'E', 'Z', 'B', 'R'], 't': [0, 6597.300000011921, 11880.100000023842, 16694.30000001192, 33718.10000002384, 35673, 44421.10000002384, 46294.80000001192, 49683, 50491.30000001192, 51798.90000000596], 'hit': [None, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1], 'asked': ['', 'H', 'HS', 'HSM', 'HSMT', 'HSMTA', 'HSMTAL', 'HSMTALE', 'HSMTALEZ', 'HSMTALEZB', 'HSMTALEZBR'], 'word_state': ['_____', '_____', '_____', '_____', '_____', '____A', '____A', '_E__A', 'ZE__A', 'ZEB_A', 'ZEBRA']}","['H', 'S', 'M', 'T', 'A', 'L', 'E', 'Z', 'B', 'R']",10.0,10.0,0.0,,,,,,,,,,
,instructions,6,145299,0.0-5.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,"[{""page_index"":0,""viewing_time"":2392.4000000059605},{""page_index"":1,""viewing_time"":23610.80000001192}]",26003.600000023842,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,7,152904,0.0-6.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,,7604.5999999940395,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}",[0],1.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
,instructions,8,163606,0.0-8.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,"[{""page_index"":0,""viewing_time"":10701.199999988079}]",10701.299999982119,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,9,171350,0.0-9.0,,115,"[200, 55, 100, 156, 206, 67, 242, 114, 145, 56, 231, 44, 195, 21, 32, 112, 87, 172, 130, 89, 154, 89, 190, 114, 118, 90, 71, 127, 34, 209, 74, 84]",57,669a702db1122fc5150a13ce,5d6513f46f5284000118ef1d,669ac8470797f165bf7bfcf1,1,0,0,True,5,22,,7744.5,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}",[0],1.0,multichoice_tournament,,,,,,,,,,,,,,,,
